Day,High(°F),Low(°F),Precip.month(inch),Precip.year(inch),Snowmonth(inch),Snowyear(inch),State,Precip.(inch),Snow(inch),Snowdepth(inch)
31 may,87.5,64.9,3.54,23.43,0,0.31,Climate Addison - Alabama,NA,NA,NA
1 jun,87.6,65.1,0.12,23.54,0,0.31,Climate Addison - Alabama,NA,NA,NA
2 jun,87.8,65.4,0.24,23.66,0,0.31,Climate Addison - Alabama,NA,NA,NA
3 jun,88,65.6,0.35,23.78,0,0.31,Climate Addison - Alabama,NA,NA,NA
4 jun,88.2,65.8,0.43,23.9,0,0.31,Climate Addison - Alabama,NA,NA,NA
5 jun,88.4,66.1,0.55,24.02,0,0.31,Climate Addison - Alabama,NA,NA,NA
6 jun,88.5,66.3,0.71,24.13,0,0.31,Climate Addison - Alabama,NA,NA,NA
7 jun,88.7,66.5,0.83,24.25,0,0.31,Climate Addison - Alabama,NA,NA,NA
8 jun,88.9,66.7,0.91,24.37,0,0.31,Climate Addison - Alabama,NA,NA,NA
9 jun,89,66.9,1.02,24.49,0,0.31,Climate Addison - Alabama,NA,NA,NA
10 jun,89.2,67.2,1.14,24.61,0,0.31,Climate Addison - Alabama,NA,NA,NA
11 jun,89.3,67.4,1.3,24.72,0,0.31,Climate Addison - Alabama,NA,NA,NA
12 jun,89.5,67.6,1.42,24.84,0,0.31,Climate Addison - Alabama,NA,NA,NA
13 jun,89.6,67.8,1.54,24.96,0,0.31,Climate Addison - Alabama,NA,NA,NA
14 jun,89.7,68,1.65,25.08,0,0.31,Climate Addison - Alabama,NA,NA,NA
15 jun,89.9,68.2,1.77,25.2,0,0.31,Climate Addison - Alabama,NA,NA,NA
16 jun,90,68.3,1.89,25.35,0,0.31,Climate Addison - Alabama,NA,NA,NA
17 jun,90.1,68.5,2.05,25.47,0,0.31,Climate Addison - Alabama,NA,NA,NA
18 jun,90.3,68.7,2.17,25.59,0,0.31,Climate Addison - Alabama,NA,NA,NA
19 jun,90.4,68.9,2.32,25.75,0,0.31,Climate Addison - Alabama,NA,NA,NA
20 jun,90.5,69.1,2.44,25.91,0,0.31,Climate Addison - Alabama,NA,NA,NA
21 jun,90.6,69.2,2.6,26.02,0,0.31,Climate Addison - Alabama,NA,NA,NA
22 jun,90.7,69.4,2.76,26.18,0,0.31,Climate Addison - Alabama,NA,NA,NA
23 jun,90.8,69.6,2.91,26.34,0,0.31,Climate Addison - Alabama,NA,NA,NA
24 jun,90.9,69.7,3.07,26.5,0,0.31,Climate Addison - Alabama,NA,NA,NA
25 jun,91,69.9,3.23,26.65,0,0.31,Climate Addison - Alabama,NA,NA,NA
26 jun,91.1,70,3.39,26.81,0,0.31,Climate Addison - Alabama,NA,NA,NA
27 jun,91.2,70.1,3.54,27.01,0,0.31,Climate Addison - Alabama,NA,NA,NA
28 jun,91.3,70.3,3.74,27.17,0,0.31,Climate Addison - Alabama,NA,NA,NA
29 jun,91.3,70.4,3.9,27.32,0,0.31,Climate Addison - Alabama,NA,NA,NA
30 jun,91.4,70.5,4.06,27.52,0,0.31,Climate Addison - Alabama,NA,NA,NA
1 jul,91.5,70.6,0.2,27.68,0,0.31,Climate Addison - Alabama,NA,NA,NA
2 jul,91.6,70.7,0.35,27.87,0,0.31,Climate Addison - Alabama,NA,NA,NA
3 jul,91.6,70.9,0.55,28.03,0,0.31,Climate Addison - Alabama,NA,NA,NA
4 jul,91.7,71,0.71,28.23,0,0.31,Climate Addison - Alabama,NA,NA,NA
5 jul,91.7,71,0.91,28.39,0,0.31,Climate Addison - Alabama,NA,NA,NA
6 jul,91.8,71.1,1.06,28.58,0,0.31,Climate Addison - Alabama,NA,NA,NA
7 jul,91.9,71.2,1.22,28.74,0,0.31,Climate Addison - Alabama,NA,NA,NA
8 jul,91.9,71.3,1.42,28.94,0,0.31,Climate Addison - Alabama,NA,NA,NA
9 jul,92,71.4,1.61,29.09,0,0.31,Climate Addison - Alabama,NA,NA,NA
10 jul,92,71.4,1.77,29.29,0,0.31,Climate Addison - Alabama,NA,NA,NA
11 jul,92,71.5,1.97,29.49,0,0.31,Climate Addison - Alabama,NA,NA,NA
12 jul,92.1,71.5,2.13,29.65,0,0.31,Climate Addison - Alabama,NA,NA,NA
13 jul,92.1,71.6,2.32,29.84,0,0.31,Climate Addison - Alabama,NA,NA,NA
14 jul,92.1,71.6,2.52,30,0,0.31,Climate Addison - Alabama,NA,NA,NA
15 jul,92.2,71.7,2.68,30.2,0,0.31,Climate Addison - Alabama,NA,NA,NA
16 jul,92.2,71.7,2.83,30.35,0,0.31,Climate Addison - Alabama,NA,NA,NA
17 jul,92.2,71.7,3.03,30.51,0,0.31,Climate Addison - Alabama,NA,NA,NA
18 jul,92.2,71.7,3.19,30.71,0,0.31,Climate Addison - Alabama,NA,NA,NA
19 jul,92.3,71.7,3.39,30.87,0,0.31,Climate Addison - Alabama,NA,NA,NA
20 jul,92.3,71.8,3.54,31.06,0,0.31,Climate Addison - Alabama,NA,NA,NA
21 jul,92.3,71.8,3.7,31.22,0,0.31,Climate Addison - Alabama,NA,NA,NA
22 jul,92.3,71.8,3.9,31.38,0,0.31,Climate Addison - Alabama,NA,NA,NA
23 jul,92.3,71.8,4.06,31.54,0,0.31,Climate Addison - Alabama,NA,NA,NA
24 jul,92.3,71.8,4.21,31.73,0,0.31,Climate Addison - Alabama,NA,NA,NA
25 jul,92.3,71.8,4.37,31.85,0,0.31,Climate Addison - Alabama,NA,NA,NA
26 jul,92.3,71.8,4.53,32.01,0,0.31,Climate Addison - Alabama,NA,NA,NA
27 jul,92.4,71.8,4.65,32.17,0,0.31,Climate Addison - Alabama,NA,NA,NA
28 jul,92.4,71.8,4.8,32.32,0,0.31,Climate Addison - Alabama,NA,NA,NA
29 jul,92.4,71.7,4.96,32.44,0,0.31,Climate Addison - Alabama,NA,NA,NA
30 jul,92.4,71.7,5.12,32.6,0,0.31,Climate Addison - Alabama,NA,NA,NA
31 jul,92.4,71.7,5.24,32.76,0,0.31,Climate Addison - Alabama,NA,NA,NA
1 aug,92.4,71.7,0.16,32.87,0,0.31,Climate Addison - Alabama,NA,NA,NA
2 aug,92.4,71.7,0.28,33.03,0,0.31,Climate Addison - Alabama,NA,NA,NA
3 aug,92.3,71.7,0.43,33.19,0,0.31,Climate Addison - Alabama,NA,NA,NA
4 aug,92.3,71.6,0.55,33.31,0,0.31,Climate Addison - Alabama,NA,NA,NA
5 aug,92.3,71.6,0.71,33.46,0,0.31,Climate Addison - Alabama,NA,NA,NA
6 aug,92.3,71.6,0.83,33.58,0,0.31,Climate Addison - Alabama,NA,NA,NA
7 aug,92.3,71.6,0.94,33.7,0,0.31,Climate Addison - Alabama,NA,NA,NA
8 aug,92.3,71.5,1.06,33.82,0,0.31,Climate Addison - Alabama,NA,NA,NA
9 aug,92.3,71.5,1.18,33.94,0,0.31,Climate Addison - Alabama,NA,NA,NA
10 aug,92.3,71.5,1.34,34.09,0,0.31,Climate Addison - Alabama,NA,NA,NA
11 aug,92.2,71.4,1.46,34.21,0,0.31,Climate Addison - Alabama,NA,NA,NA
12 aug,92.2,71.4,1.57,34.33,0,0.31,Climate Addison - Alabama,NA,NA,NA
13 aug,92.2,71.3,1.69,34.45,0,0.31,Climate Addison - Alabama,NA,NA,NA
14 aug,92.2,71.3,1.81,34.57,0,0.31,Climate Addison - Alabama,NA,NA,NA
15 aug,92.1,71.2,1.97,34.72,0,0.31,Climate Addison - Alabama,NA,NA,NA
16 aug,92.1,71.2,2.09,34.84,0,0.31,Climate Addison - Alabama,NA,NA,NA
17 aug,92,71.1,2.2,34.96,0,0.31,Climate Addison - Alabama,NA,NA,NA
18 aug,92,71.1,2.32,35.08,0,0.31,Climate Addison - Alabama,NA,NA,NA
19 aug,91.9,71,2.44,35.2,0,0.31,Climate Addison - Alabama,NA,NA,NA
20 aug,91.9,70.9,2.56,35.31,0,0.31,Climate Addison - Alabama,NA,NA,NA
21 aug,91.8,70.8,2.72,35.43,0,0.31,Climate Addison - Alabama,NA,NA,NA
22 aug,91.7,70.8,2.83,35.55,0,0.31,Climate Addison - Alabama,NA,NA,NA
23 aug,91.7,70.7,2.95,35.71,0,0.31,Climate Addison - Alabama,NA,NA,NA
24 aug,91.6,70.6,3.07,35.83,0,0.31,Climate Addison - Alabama,NA,NA,NA
25 aug,91.5,70.4,3.23,35.94,0,0.31,Climate Addison - Alabama,NA,NA,NA
26 aug,91.4,70.3,3.35,36.06,0,0.31,Climate Addison - Alabama,NA,NA,NA
27 aug,91.3,70.2,3.46,36.18,0,0.31,Climate Addison - Alabama,NA,NA,NA
28 aug,91.2,70.1,3.58,36.34,0,0.31,Climate Addison - Alabama,NA,NA,NA
29 aug,91,69.9,3.7,36.46,0,0.31,Climate Addison - Alabama,NA,NA,NA
30 aug,90.9,69.8,3.86,36.57,0,0.31,Climate Addison - Alabama,NA,NA,NA
31 aug,90.8,69.6,3.98,36.69,0,0.31,Climate Addison - Alabama,NA,NA,NA
1 sep,90.6,69.4,0.12,36.85,0,0.31,Climate Addison - Alabama,NA,NA,NA
2 sep,90.5,69.2,0.28,36.97,0,0.31,Climate Addison - Alabama,NA,NA,NA
3 sep,90.3,69,0.43,37.13,0,0.31,Climate Addison - Alabama,NA,NA,NA
4 sep,90.1,68.8,0.55,37.28,0,0.31,Climate Addison - Alabama,NA,NA,NA
5 sep,90,68.6,0.71,37.4,0,0.31,Climate Addison - Alabama,NA,NA,NA
6 sep,89.8,68.3,0.87,37.56,0,0.31,Climate Addison - Alabama,NA,NA,NA
7 sep,89.6,68.1,0.98,37.72,0,0.31,Climate Addison - Alabama,NA,NA,NA
8 sep,89.4,67.8,1.14,37.83,0,0.31,Climate Addison - Alabama,NA,NA,NA
9 sep,89.1,67.6,1.26,37.95,0,0.31,Climate Addison - Alabama,NA,NA,NA
10 sep,88.9,67.3,1.42,38.11,0,0.31,Climate Addison - Alabama,NA,NA,NA
11 sep,88.7,67,1.54,38.23,0,0.31,Climate Addison - Alabama,NA,NA,NA
12 sep,88.4,66.7,1.65,38.39,0,0.31,Climate Addison - Alabama,NA,NA,NA
13 sep,88.2,66.4,1.81,38.5,0,0.31,Climate Addison - Alabama,NA,NA,NA
14 sep,87.9,66,1.93,38.66,0,0.31,Climate Addison - Alabama,NA,NA,NA
15 sep,87.7,65.7,2.09,38.78,0,0.31,Climate Addison - Alabama,NA,NA,NA
16 sep,87.4,65.4,2.2,38.94,0,0.31,Climate Addison - Alabama,NA,NA,NA
17 sep,87.1,65,2.32,39.06,0,0.31,Climate Addison - Alabama,NA,NA,NA
18 sep,86.8,64.6,2.48,39.17,0,0.31,Climate Addison - Alabama,NA,NA,NA
19 sep,86.6,64.3,2.6,39.29,0,0.31,Climate Addison - Alabama,NA,NA,NA
20 sep,86.3,63.9,2.72,39.45,0,0.31,Climate Addison - Alabama,NA,NA,NA
21 sep,86,63.5,2.87,39.57,0,0.31,Climate Addison - Alabama,NA,NA,NA
22 sep,85.7,63.1,2.99,39.69,0,0.31,Climate Addison - Alabama,NA,NA,NA
23 sep,85.4,62.7,3.11,39.8,0,0.31,Climate Addison - Alabama,NA,NA,NA
24 sep,85,62.3,3.23,39.96,0,0.31,Climate Addison - Alabama,NA,NA,NA
25 sep,84.7,61.9,3.39,40.08,0,0.31,Climate Addison - Alabama,NA,NA,NA
26 sep,84.4,61.5,3.5,40.2,0,0.31,Climate Addison - Alabama,NA,NA,NA
27 sep,84.1,61.1,3.62,40.31,0,0.31,Climate Addison - Alabama,NA,NA,NA
28 sep,83.8,60.7,3.74,40.43,0,0.31,Climate Addison - Alabama,NA,NA,NA
29 sep,83.5,60.2,3.86,40.55,0,0.31,Climate Addison - Alabama,NA,NA,NA
30 sep,83.1,59.8,3.98,40.67,0,0.31,Climate Addison - Alabama,NA,NA,NA
1 oct,82.8,59.4,0.12,40.79,0,0.31,Climate Addison - Alabama,NA,NA,NA
2 oct,82.5,59,0.2,40.87,0,0.31,Climate Addison - Alabama,NA,NA,NA
3 oct,82.2,58.6,0.28,40.98,0,0.31,Climate Addison - Alabama,NA,NA,NA
4 oct,81.9,58.1,0.39,41.06,0,0.31,Climate Addison - Alabama,NA,NA,NA
5 oct,81.6,57.7,0.47,41.14,0,0.31,Climate Addison - Alabama,NA,NA,NA
6 oct,81.2,57.3,0.59,41.26,0,0.31,Climate Addison - Alabama,NA,NA,NA
7 oct,80.9,56.9,0.67,41.38,0,0.31,Climate Addison - Alabama,NA,NA,NA
8 oct,80.6,56.5,0.79,41.46,0,0.31,Climate Addison - Alabama,NA,NA,NA
9 oct,80.3,56.1,0.87,41.54,0,0.31,Climate Addison - Alabama,NA,NA,NA
10 oct,80,55.6,0.98,41.65,0,0.31,Climate Addison - Alabama,NA,NA,NA
11 oct,79.7,55.2,1.06,41.73,0,0.31,Climate Addison - Alabama,NA,NA,NA
12 oct,79.4,54.8,1.14,41.81,0,0.31,Climate Addison - Alabama,NA,NA,NA
13 oct,79.1,54.5,1.22,41.93,0,0.31,Climate Addison - Alabama,NA,NA,NA
14 oct,78.8,54.1,1.34,42.01,0,0.31,Climate Addison - Alabama,NA,NA,NA
15 oct,78.5,53.7,1.42,42.09,0,0.31,Climate Addison - Alabama,NA,NA,NA
16 oct,78.2,53.3,1.5,42.2,0,0.31,Climate Addison - Alabama,NA,NA,NA
17 oct,77.9,52.9,1.61,42.28,0,0.31,Climate Addison - Alabama,NA,NA,NA
18 oct,77.7,52.6,1.69,42.36,0,0.31,Climate Addison - Alabama,NA,NA,NA
19 oct,77.4,52.2,1.77,42.44,0,0.31,Climate Addison - Alabama,NA,NA,NA
20 oct,77.1,51.8,1.85,42.56,0,0.31,Climate Addison - Alabama,NA,NA,NA
21 oct,76.8,51.5,1.97,42.64,0,0.31,Climate Addison - Alabama,NA,NA,NA
22 oct,76.5,51.2,2.05,42.72,0,0.31,Climate Addison - Alabama,NA,NA,NA
23 oct,76.2,50.8,2.13,42.83,0,0.31,Climate Addison - Alabama,NA,NA,NA
24 oct,76,50.5,2.24,42.91,0,0.31,Climate Addison - Alabama,NA,NA,NA
25 oct,75.7,50.1,2.32,42.99,0,0.31,Climate Addison - Alabama,NA,NA,NA
26 oct,75.4,49.8,2.4,43.11,0,0.31,Climate Addison - Alabama,NA,NA,NA
27 oct,75.1,49.5,2.52,43.19,0,0.31,Climate Addison - Alabama,NA,NA,NA
28 oct,74.9,49.2,2.64,43.31,0,0.31,Climate Addison - Alabama,NA,NA,NA
29 oct,74.6,48.9,2.72,43.39,0,0.31,Climate Addison - Alabama,NA,NA,NA
30 oct,74.3,48.6,2.83,43.5,0,0.31,Climate Addison - Alabama,NA,NA,NA
31 oct,74,48.3,2.91,43.58,0,0.31,Climate Addison - Alabama,NA,NA,NA
1 nov,73.7,47.9,0.12,43.7,0,0.31,Climate Addison - Alabama,NA,NA,NA
2 nov,73.4,47.6,0.24,43.86,0,0.31,Climate Addison - Alabama,NA,NA,NA
3 nov,73.1,47.4,0.35,43.98,0,0.31,Climate Addison - Alabama,NA,NA,NA
4 nov,72.8,47.1,0.51,44.09,0,0.31,Climate Addison - Alabama,NA,NA,NA
5 nov,72.5,46.8,0.63,44.21,0,0.31,Climate Addison - Alabama,NA,NA,NA
6 nov,72.2,46.5,0.79,44.37,0,0.31,Climate Addison - Alabama,NA,NA,NA
7 nov,71.9,46.2,0.91,44.53,0,0.31,Climate Addison - Alabama,NA,NA,NA
8 nov,71.6,45.9,1.02,44.65,0,0.31,Climate Addison - Alabama,NA,NA,NA
9 nov,71.3,45.6,1.18,44.76,0,0.31,Climate Addison - Alabama,NA,NA,NA
10 nov,71,45.3,1.34,44.92,0,0.31,Climate Addison - Alabama,NA,NA,NA
11 nov,70.6,45.1,1.46,45.08,0,0.31,Climate Addison - Alabama,NA,NA,NA
12 nov,70.3,44.8,1.61,45.24,0,0.31,Climate Addison - Alabama,NA,NA,NA
13 nov,70,44.5,1.77,45.35,0,0.31,Climate Addison - Alabama,NA,NA,NA
14 nov,69.6,44.2,1.93,45.51,0,0.31,Climate Addison - Alabama,NA,NA,NA
15 nov,69.3,44,2.09,45.71,0,0.31,Climate Addison - Alabama,NA,NA,NA
16 nov,68.9,43.7,2.24,45.87,0,0.31,Climate Addison - Alabama,NA,NA,NA
17 nov,68.6,43.4,2.4,46.02,0,0.31,Climate Addison - Alabama,NA,NA,NA
18 nov,68.2,43.2,2.6,46.18,0,0.31,Climate Addison - Alabama,NA,NA,NA
19 nov,67.9,42.9,2.76,46.34,0,0.31,Climate Addison - Alabama,NA,NA,NA
20 nov,67.5,42.6,2.91,46.5,0,0.31,Climate Addison - Alabama,NA,NA,NA
21 nov,67.2,42.4,3.07,46.69,0,0.31,Climate Addison - Alabama,NA,NA,NA
22 nov,66.8,42.1,3.27,46.85,0,0.31,Climate Addison - Alabama,NA,NA,NA
23 nov,66.4,41.9,3.43,47.01,0,0.31,Climate Addison - Alabama,NA,NA,NA
24 nov,66.1,41.6,3.58,47.17,0,0.31,Climate Addison - Alabama,NA,NA,NA
25 nov,65.7,41.3,3.74,47.32,0,0.31,Climate Addison - Alabama,NA,NA,NA
26 nov,65.4,41.1,3.9,47.52,0,0.31,Climate Addison - Alabama,NA,NA,NA
27 nov,65,40.9,4.09,47.68,0,0.31,Climate Addison - Alabama,NA,NA,NA
28 nov,64.6,40.6,4.25,47.83,0,0.31,Climate Addison - Alabama,NA,NA,NA
29 nov,64.3,40.4,4.45,48.03,0,0.31,Climate Addison - Alabama,NA,NA,NA
30 nov,63.9,40.2,4.61,48.23,0,0.31,Climate Addison - Alabama,NA,NA,NA
1 dec,63.6,39.9,0.16,48.39,0,0.31,Climate Addison - Alabama,NA,NA,NA
2 dec,63.2,39.7,0.35,48.54,0,0.31,Climate Addison - Alabama,NA,NA,NA
3 dec,62.9,39.5,0.51,48.7,0,0.31,Climate Addison - Alabama,NA,NA,NA
4 dec,62.6,39.3,0.67,48.9,0,0.31,Climate Addison - Alabama,NA,NA,NA
5 dec,62.2,39.1,0.83,49.06,0,0.31,Climate Addison - Alabama,NA,NA,NA
6 dec,61.9,38.9,0.98,49.21,0,0.31,Climate Addison - Alabama,NA,NA,NA
7 dec,61.6,38.7,1.14,49.37,0,0.31,Climate Addison - Alabama,NA,NA,NA
8 dec,61.3,38.5,1.34,49.53,0,0.31,Climate Addison - Alabama,NA,NA,NA
9 dec,61,38.3,1.5,49.69,0,0.31,Climate Addison - Alabama,NA,NA,NA
10 dec,60.7,38.1,1.65,49.84,0,0.31,Climate Addison - Alabama,NA,NA,NA
11 dec,60.4,37.9,1.81,50.04,0,0.31,Climate Addison - Alabama,NA,NA,NA
12 dec,60.2,37.8,1.97,50.2,0,0.31,Climate Addison - Alabama,NA,NA,NA
13 dec,59.9,37.6,2.13,50.31,0,0.31,Climate Addison - Alabama,NA,NA,NA
14 dec,59.7,37.5,2.28,50.47,0,0.31,Climate Addison - Alabama,NA,NA,NA
15 dec,59.4,37.3,2.44,50.63,0,0.31,Climate Addison - Alabama,NA,NA,NA
16 dec,59.2,37.2,2.6,50.79,0,0.39,Climate Addison - Alabama,NA,NA,NA
17 dec,59,37,2.76,50.94,0,0.39,Climate Addison - Alabama,NA,NA,NA
18 dec,58.8,36.9,2.91,51.1,0,0.39,Climate Addison - Alabama,NA,NA,NA
19 dec,58.6,36.8,3.07,51.26,0,0.39,Climate Addison - Alabama,NA,NA,NA
20 dec,58.4,36.7,3.23,51.42,0.12,0.39,Climate Addison - Alabama,NA,NA,NA
21 dec,58.2,36.5,3.35,51.57,0.12,0.39,Climate Addison - Alabama,NA,NA,NA
22 dec,58,36.4,3.5,51.73,0.12,0.39,Climate Addison - Alabama,NA,NA,NA
23 dec,57.9,36.3,3.66,51.89,0.12,0.39,Climate Addison - Alabama,NA,NA,NA
24 dec,57.7,36.2,3.86,52.05,0.12,0.39,Climate Addison - Alabama,NA,NA,NA
25 dec,57.6,36.1,3.98,52.2,0.12,0.39,Climate Addison - Alabama,NA,NA,NA
26 dec,57.5,36.1,4.13,52.36,0.12,0.39,Climate Addison - Alabama,NA,NA,NA
27 dec,57.4,36,4.29,52.52,0.12,0.39,Climate Addison - Alabama,NA,NA,NA
28 dec,57.3,35.9,4.45,52.64,0.12,0.39,Climate Addison - Alabama,NA,NA,NA
29 dec,57.2,35.8,4.57,52.8,0.12,0.39,Climate Addison - Alabama,NA,NA,NA
30 dec,57.1,35.8,4.72,52.91,0.12,0.39,Climate Addison - Alabama,NA,NA,NA
31 dec,57.1,35.7,4.84,53.07,0.12,0.39,Climate Addison - Alabama,NA,NA,NA
1 jan,51,32.1,0.16,0.16,0,0,Climate Addison - Alabama,NA,NA,NA
2 jan,50.9,32,0.31,0.31,0.12,0.12,Climate Addison - Alabama,NA,NA,NA
3 jan,50.9,31.9,0.47,0.47,0.12,0.12,Climate Addison - Alabama,NA,NA,NA
4 jan,50.8,31.9,0.63,0.63,0.2,0.2,Climate Addison - Alabama,NA,NA,NA
5 jan,50.8,31.8,0.83,0.83,0.2,0.2,Climate Addison - Alabama,NA,NA,NA
6 jan,50.8,31.7,0.98,0.98,0.2,0.2,Climate Addison - Alabama,NA,NA,NA
7 jan,50.8,31.7,1.1,1.1,0.31,0.31,Climate Addison - Alabama,NA,NA,NA
8 jan,50.7,31.6,1.26,1.26,0.31,0.31,Climate Addison - Alabama,NA,NA,NA
9 jan,50.7,31.6,1.42,1.42,0.39,0.39,Climate Addison - Alabama,NA,NA,NA
10 jan,50.7,31.6,1.57,1.57,0.39,0.39,Climate Addison - Alabama,NA,NA,NA
11 jan,50.8,31.5,1.77,1.77,0.39,0.39,Climate Addison - Alabama,NA,NA,NA
12 jan,50.8,31.5,1.93,1.93,0.51,0.51,Climate Addison - Alabama,NA,NA,NA
13 jan,50.8,31.5,2.09,2.09,0.51,0.51,Climate Addison - Alabama,NA,NA,NA
14 jan,50.8,31.5,2.24,2.24,0.59,0.59,Climate Addison - Alabama,NA,NA,NA
15 jan,50.9,31.5,2.4,2.4,0.59,0.59,Climate Addison - Alabama,NA,NA,NA
16 jan,50.9,31.5,2.56,2.56,0.59,0.59,Climate Addison - Alabama,NA,NA,NA
17 jan,51,31.5,2.72,2.72,0.71,0.71,Climate Addison - Alabama,NA,NA,NA
18 jan,51,31.5,2.87,2.87,0.71,0.71,Climate Addison - Alabama,NA,NA,NA
19 jan,51.1,31.6,3.03,3.03,0.79,0.79,Climate Addison - Alabama,NA,NA,NA
20 jan,51.2,31.6,3.19,3.19,0.79,0.79,Climate Addison - Alabama,NA,NA,NA
21 jan,51.2,31.7,3.35,3.35,0.79,0.79,Climate Addison - Alabama,NA,NA,NA
22 jan,51.3,31.7,3.5,3.5,0.91,0.91,Climate Addison - Alabama,NA,NA,NA
23 jan,51.4,31.8,3.66,3.66,0.91,0.91,Climate Addison - Alabama,NA,NA,NA
24 jan,51.5,31.9,3.82,3.82,0.91,0.91,Climate Addison - Alabama,NA,NA,NA
25 jan,51.6,31.9,3.98,3.98,0.91,0.91,Climate Addison - Alabama,NA,NA,NA
26 jan,51.8,32,4.09,4.09,0.98,0.98,Climate Addison - Alabama,NA,NA,NA
27 jan,51.9,32.1,4.25,4.25,0.98,0.98,Climate Addison - Alabama,NA,NA,NA
28 jan,52,32.2,4.41,4.41,0.98,0.98,Climate Addison - Alabama,NA,NA,NA
29 jan,52.2,32.4,4.57,4.57,0.98,0.98,Climate Addison - Alabama,NA,NA,NA
30 jan,52.3,32.5,4.72,4.72,1.1,1.1,Climate Addison - Alabama,NA,NA,NA
31 jan,52.5,32.6,4.88,4.88,1.1,1.1,Climate Addison - Alabama,NA,NA,NA
1 feb,52.7,32.8,0.16,5.08,0,1.1,Climate Addison - Alabama,NA,NA,NA
2 feb,52.8,32.9,0.35,5.24,0,1.1,Climate Addison - Alabama,NA,NA,NA
3 feb,53,33.1,0.51,5.39,0.12,1.18,Climate Addison - Alabama,NA,NA,NA
4 feb,53.2,33.2,0.67,5.55,0.12,1.18,Climate Addison - Alabama,NA,NA,NA
5 feb,53.4,33.4,0.87,5.75,0.12,1.18,Climate Addison - Alabama,NA,NA,NA
6 feb,53.6,33.6,1.02,5.91,0.12,1.18,Climate Addison - Alabama,NA,NA,NA
7 feb,53.8,33.8,1.18,6.06,0.12,1.18,Climate Addison - Alabama,NA,NA,NA
8 feb,54.1,34,1.34,6.22,0.2,1.3,Climate Addison - Alabama,NA,NA,NA
9 feb,54.3,34.2,1.5,6.42,0.2,1.3,Climate Addison - Alabama,NA,NA,NA
10 feb,54.5,34.4,1.69,6.57,0.2,1.3,Climate Addison - Alabama,NA,NA,NA
11 feb,54.8,34.6,1.85,6.73,0.2,1.3,Climate Addison - Alabama,NA,NA,NA
12 feb,55,34.8,2.01,6.89,0.2,1.3,Climate Addison - Alabama,NA,NA,NA
13 feb,55.3,35.1,2.17,7.09,0.2,1.3,Climate Addison - Alabama,NA,NA,NA
14 feb,55.6,35.3,2.36,7.24,0.31,1.42,Climate Addison - Alabama,NA,NA,NA
15 feb,55.8,35.5,2.52,7.4,0.31,1.42,Climate Addison - Alabama,NA,NA,NA
16 feb,56.1,35.7,2.72,7.6,0.31,1.42,Climate Addison - Alabama,NA,NA,NA
17 feb,56.4,36,2.87,7.76,0.31,1.42,Climate Addison - Alabama,NA,NA,NA
18 feb,56.7,36.2,3.03,7.95,0.31,1.42,Climate Addison - Alabama,NA,NA,NA
19 feb,57,36.5,3.23,8.11,0.39,1.5,Climate Addison - Alabama,NA,NA,NA
20 feb,57.3,36.7,3.43,8.31,0.39,1.5,Climate Addison - Alabama,NA,NA,NA
21 feb,57.6,36.9,3.58,8.46,0.39,1.5,Climate Addison - Alabama,NA,NA,NA
22 feb,57.9,37.2,3.78,8.66,0.39,1.5,Climate Addison - Alabama,NA,NA,NA
23 feb,58.2,37.4,3.94,8.86,0.39,1.5,Climate Addison - Alabama,NA,NA,NA
24 feb,58.5,37.7,4.13,9.02,0.39,1.5,Climate Addison - Alabama,NA,NA,NA
25 feb,58.8,37.9,4.29,9.21,0.39,1.5,Climate Addison - Alabama,NA,NA,NA
26 feb,59.2,38.1,4.49,9.37,0.51,1.61,Climate Addison - Alabama,NA,NA,NA
27 feb,59.5,38.4,4.65,9.57,0.51,1.61,Climate Addison - Alabama,NA,NA,NA
28 feb,59.8,38.6,4.84,9.72,0.51,1.61,Climate Addison - Alabama,NA,NA,NA
29 feb,60,38.7,0,0,0,0,Climate Addison - Alabama,NA,NA,NA
1 mar,60.1,38.9,0.2,9.92,0,1.61,Climate Addison - Alabama,NA,NA,NA
2 mar,60.5,39.1,0.35,10.08,0,1.61,Climate Addison - Alabama,NA,NA,NA
3 mar,60.8,39.3,0.51,10.24,0.12,1.69,Climate Addison - Alabama,NA,NA,NA
4 mar,61.1,39.6,0.67,10.39,0.12,1.69,Climate Addison - Alabama,NA,NA,NA
5 mar,61.4,39.8,0.83,10.55,0.12,1.69,Climate Addison - Alabama,NA,NA,NA
6 mar,61.8,40,0.98,10.75,0.12,1.69,Climate Addison - Alabama,NA,NA,NA
7 mar,62.1,40.2,1.18,10.91,0.2,1.81,Climate Addison - Alabama,NA,NA,NA
8 mar,62.4,40.5,1.34,11.06,0.2,1.81,Climate Addison - Alabama,NA,NA,NA
9 mar,62.7,40.7,1.5,11.22,0.2,1.81,Climate Addison - Alabama,NA,NA,NA
10 mar,63.1,40.9,1.65,11.38,0.2,1.81,Climate Addison - Alabama,NA,NA,NA
11 mar,63.4,41.1,1.81,11.57,0.2,1.81,Climate Addison - Alabama,NA,NA,NA
12 mar,63.7,41.3,2.01,11.73,0.31,1.89,Climate Addison - Alabama,NA,NA,NA
13 mar,64,41.6,2.17,11.89,0.31,1.89,Climate Addison - Alabama,NA,NA,NA
